Unnamed: 0,movieId,count,mean_ratings,genres,name,year,image
0,171011,1956,4.446830266,['Documentary'],Planet Earth II,2016,https://www.reelviews.net/resources/img/default_poster.jpg
1,159817,2948,4.444369064,['Documentary'],Planet Earth,2006,https://www.reelviews.net/resources/img/default_poster.jpg
2,170705,2811,4.426538598,"['Action', 'Drama', 'War']",Band of Brothers,2001,https://www.reelviews.net/resources/img/default_poster.jpg
3,318,102929,4.40461386,"['Crime', 'Drama']",The Shawshank Redemption,1994,https://image.tmdb.org/t/p/w500/lyQBXzOQSuE59IsHyhrp0qIiPAz.jpg
5,858,66440,4.317030403,"['Crime', 'Drama']",The Godfather,1972,https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg
6,202439,11670,4.312253642,"['Comedy', 'Drama']",Parasite,2019,https://image.tmdb.org/t/p/w500/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg
7,179135,1163,4.300085985,['Documentary'],Blue Planet II,2017,https://www.reelviews.net/resources/img/default_poster.jpg
8,198185,1140,4.298684211,"['Drama', 'Mystery']",Twin Peaks,1989,https://image.tmdb.org/t/p/w500/Apg4fMfr1Wi19Ilu5HXh4nClCv9.jpg
9,220528,449,4.286191537,['Drama'],Twelve Angry Men,1954,https://image.tmdb.org/t/p/w500/rCQzHGuAod7S23apXYjHaxQHLlT.jpg
10,1203,21863,4.265311256,['Drama'],12 Angry Men,1957,https://image.tmdb.org/t/p/w500/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg
11,50,67750,4.265070111,"['Crime', 'Mystery', 'Thriller']",The Usual Suspects,1995,https://image.tmdb.org/t/p/w500/bUPmtQzrRhzqYySeiMpv7GurAfm.jpg
12,1221,43111,4.264468465,"['Crime', 'Drama']",The Godfather: Part II,1974,https://image.tmdb.org/t/p/w500/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg
13,163809,1397,4.263779528,"['Adventure', 'Animation', 'Drama']",Over the Garden Wall,2013,https://www.reelviews.net/resources/img/default_poster.jpg
